경찰서,주소,위도,경도
수원중부경찰서,경기도 수원시 장안구 정자천로 199,37.2979319496338,126.99631718583
수원남부경찰서,경기 수원시 영통구 매봉로 52,37.2721043390665,127.054492051642
수원서부경찰서,경기 수원시 권선구 서부로 1673,37.2587398262097,126.97226385575
안양동안경찰서,경기도 안양시 동안구 동안로159번길 43,37.3912094396239,126.948865644818
안양만안경찰서,경기도 안양시 만안구 냉천로 63,37.3873338294762,126.925974279078
과천경찰서,경기 과천시 통영로 20,37.4293578081577,126.989986631805
성남수정경찰서,경기 성남시 수정구 성남대로 1259,37.4422865283645,127.126662332587
성남중원경찰서,경기 성남시 중원구 금빛로2번길 10,37.4426637336523,127.170370787385
분당경찰서,경기 성남시 분당구 정자일로 165,37.365305160336,127.105449798689
부천소사경찰서,경기 부천시  부광로 214,37.4687230174099,126.824181360734
부천원미경찰서,경기 부천시 조마루로311번길 84,37.5024631336155,126.777336896647
부천오정경찰서,경기 부천시 소사로 631,37.5144946834328,126.800320886988
광명경찰서,경기 광명시 디지털로 5,37.4741510608724,126.86780378638
안산단원경찰서,경기도 안산시 단원구 화랑로 373,37.3219495259192,126.829563513914
안산상록경찰서,경기 안산시 상록구 차돌배기로 10,37.2991958287487,126.845188207256
시흥경찰서,경기 시흥시 황고개로 513,37.3767854947077,126.788108897564
평택경찰서,경기도 평택시 중앙로 67,36.9948466801142,127.090957652395
오산경찰서,경기 오산시 동부대로 596,37.1536368556184,127.082245675536
화성동탄경찰서,경기도 화성시 동탄대로 13길 70,37.1857284229221,127.094115172639
화성서부경찰서,경기 화성시 남양읍 남양로 570,37.1913384769585,126.822490664432
용인동부경찰서,경기 용인시 처인구 금학로 143,37.2415577695372,127.180431406937
수원남부경찰서,경기 수원시 영통구 매봉로 52,37.2721043390665,127.054492051642
광주경찰서,경기 광주시 포돌이로 135,37.408822309355,127.239490239743
이천경찰서,경기 이천시 부악로 32,37.2735973588263,127.434764212397
안성경찰서,경기 안성시 알미산로 140,37.0004924108258,127.249658873898
여주경찰서,경기 여주시 세종로 50,37.2932052159127,127.635529277674
양평경찰서,경기도 양평군 옥천면 고읍로 88,37.5169251026736,127.454997234226
의왕경찰서,경기 의왕시 오봉로 10,37.3451981829569,126.974048634012
하남경찰서,경기 하남시 검단로 27,37.5226716618107,127.224643080043
