locdate,dateName,isHoliday
20240101,신정,Y
20240209,설날,Y
20240210,설날,Y
20240211,설날,Y
20240212,대체공휴일(설날),Y
20240301,삼일절,Y
20240410,국회의원선거,Y
20240505,어린이날 어린이 날 입하,Y
20240506,대체공휴일(어린이날),Y
20240515,부처님오신날 스승의 날,Y
20240606,현충일,Y
20240815,광복절,Y
20240916,추석,Y
20240917,추석,Y
20240918,추석,Y
20241003,개천절,Y
20241009,한글날,Y
20241225,크리스마스,Y
20240228,2·28 민주운동 기념일,N
20240303,납세자의 날,N
20240308,3·8민주의거 기념일,N
20240315,3·15 의거 기념일 상공의 날,N
20240324,서해수호의 날,N
20240403,4·3희생자 추념일,N
20240405,식목일 한식,N
20240407,예비군의 날 보건의 날,N
20240411,도시농업의 날 대한민국임시정부 수립기념일,N
20240419,4·19혁명 기념일 곡우,N
20240420,장애인의 날,N
20240421,과학의 날,N
20240422,정보통신의 날,N
20240425,법의 날,N
20240428,충무공 이순신 탄신일,N
20240501,근로자의 날,N
20240508,어버이 날,N
20240510,유권자의 날,N
20240511,동학농민혁명 기념일 입양의 날,N
20240514,식품안전의 날,N
20240518,5·18민주화운동 기념일,N
20240519,발명의 날,N
20240520,성년의 날 세계인의 날 소만,N
20240521,부부의 날,N
20240531,바다의 날,N
20240601,의병의 날,N
20240605,환경의 날 망종,N
20240609,구강보건의 날,N
20240610,6·10민주항쟁 기념일 6·10만세운동 기념일 단오,N
20240624,전자정부의 날,N
20240625,6·25전쟁일,N
20240626,마약퇴치의 날,N
20240628,철도의 날,N
20240710,마약퇴치의 날,N
20240711,인구의 날,N
20240727,유엔군 참전의 날,N
20240808,섬의 날,N
20240907,푸른 하늘의 날 사회복지의 날 곤충의 날 백로,N
20240910,해양경찰의 날,N
20240921,청년의 날,N
20240930,조달의 날,N
20241001,국군의 날,N
20241002,노인의 날,N
20241005,세계 한인의 날,N
20241008,재향군인의 날 한로,N
20241010,임산부의 날 정신건강의 날,N
20241015,체육의 날,N
20241016,부마민주항쟁 기념일,N
20241019,문화의 날,N
20241021,경찰의 날,N
20241024,국제연합일,N
20241028,교정의 날,N
20241029,지방자치의 날 금융의 날,N
20241103,학생독립운동 기념일,N
20241109,소방의 날,N
20241111,농업인의 날 유엔참전용사 국제추모의 날,N
20241117,순국선열의 날,N
20241119,아동학대 예방의 날,N
20241122,김치의 날 소설,N
20241203,소비자의 날,N
20241205,무역의 날 자원봉사자의 날,N
20241227,원자력 안전 및 진흥의 날,N
20240106,소한,N
20240120,대한,N
20240204,입춘,N
20240219,우수,N
20240305,경칩,N
20240320,춘분,N
20240404,청명,N
20240621,하지,N
20240706,소서,N
20240722,대서,N
20240807,입추,N
20240822,처서,N
20240922,추분,N
20241023,상강,N
20241107,입동,N
20241207,대설,N
20241221,동지,N
20240224,정월대보름,N
20240715,초복,N
20240725,중복,N
20240810,칠석,N
20240814,말복,N
